# Pedigree data for the Lg/Sm mouse advanced intercross line. Each row 
# refers to an individual mouse.
#
# The columns of the table are:
#
#  (1) id (a unique number assigned to each individual)
#  (2) filial generation
#  (3) sex (M = male, F = female)
#  (4) id of father
#  (5) id of mother
#
# Individual identifiers that are given special attention are:
#
#  -9999  genetically identical inbred Sm/j males
#  -9998  genetically identical inbred Lg/j females
#  -9997  genetically identical F1 male offspring from Sm/j x Lg/j cross
#  -9996  genetically identical F1 female offspring from Sm/j x Lg/j cross
#      0  unknown
#
id,generation,sex,sire,dam
995A,F2,M,-9997,-9996
996A,F2,F,-9997,-9996
997A,F2,F,-9997,-9996
998A,F2,M,-9997,-9996
999A,F2,M,-9997,-9996
1000A,F2,F,-9997,-9996
1001A,F2,F,-9997,-9996
1002A,F2,M,-9997,-9996
1003A,F2,F,-9997,-9996
1004A,F2,M,-9997,-9996
1005A,F2,M,-9997,-9996
1006A,F2,M,-9997,-9996
1007A,F2,F,-9997,-9996
1008A,F2,M,-9997,-9996
1009A,F2,M,-9997,-9996
1010A,F2,F,-9997,-9996
1011A,F2,M,-9997,-9996
1012A,F2,M,-9997,-9996
1013A,F2,F,-9997,-9996
1014A,F2,M,-9997,-9996
1015A,F2,F,-9997,-9996
1016A,F2,M,-9997,-9996
1017A,F2,F,-9997,-9996
1018A,F2,F,-9997,-9996
1019A,F2,M,-9997,-9996
1020A,F2,F,-9997,-9996
1021A,F2,M,-9997,-9996
1022A,F2,F,-9997,-9996
1023A,F2,M,-9997,-9996
1024A,F2,F,-9997,-9996
1025A,F2,F,-9997,-9996
1026A,F2,F,-9997,-9996
1027A,F2,F,-9997,-9996
1028A,F2,F,-9997,-9996
1029A,F2,M,-9997,-9996
1030A,F2,M,-9997,-9996
1031A,F2,M,-9997,-9996
1032A,F2,F,-9997,-9996
1033A,F2,F,-9997,-9996
1034A,F2,M,-9997,-9996
1035A,F2,M,-9997,-9996
1036A,F2,M,-9997,-9996
1037A,F2,F,-9997,-9996
1038A,F2,M,-9997,-9996
1039A,F2,F,-9997,-9996
1040A,F2,F,-9997,-9996
1041A,F2,F,-9997,-9996
1042A,F2,F,-9997,-9996
1043A,F2,M,-9997,-9996
1044A,F2,F,-9997,-9996
1045A,F2,M,-9997,-9996
1046A,F2,M,-9997,-9996
1047A,F2,M,-9997,-9996
1048A,F2,M,-9997,-9996
1049A,F2,F,-9997,-9996
1050A,F2,M,-9997,-9996
1051A,F2,M,-9997,-9996
1052A,F2,F,-9997,-9996
1053A,F2,M,-9997,-9996
1054A,F2,F,-9997,-9996
1055A,F2,F,-9997,-9996
1056A,F2,F,-9997,-9996
1057A,F2,M,-9997,-9996
1058A,F2,M,-9997,-9996
1059A,F2,F,-9997,-9996
1060A,F2,M,-9997,-9996
1061A,F2,M,-9997,-9996
1062A,F2,F,-9997,-9996
1064A,F2,M,-9997,-9996
1065A,F2,F,-9997,-9996
1066A,F2,M,-9997,-9996
1067A,F2,M,-9997,-9996
1068A,F2,F,-9997,-9996
1069A,F2,F,-9997,-9996
1070A,F2,F,-9997,-9996
1071A,F2,F,-9997,-9996
1072A,F2,M,-9997,-9996
1073A,F2,M,-9997,-9996
1074A,F2,M,-9997,-9996
1075A,F2,F,-9997,-9996
1076A,F2,M,-9997,-9996
1077A,F2,M,-9997,-9996
1078A,F2,M,-9997,-9996
1079A,F2,M,-9997,-9996
1080A,F2,M,-9997,-9996
1081A,F2,M,-9997,-9996
1082A,F2,F,-9997,-9996
1083A,F2,F,-9997,-9996
1085A,F2,F,-9997,-9996
1086A,F2,M,-9997,-9996
1088A,F2,M,-9997,-9996
1089A,F2,M,-9997,-9996
1090A,F2,F,-9997,-9996
1091A,F2,M,-9997,-9996
1092A,F2,F,-9997,-9996
1093A,F2,M,-9997,-9996
1094A,F2,F,-9997,-9996
1095A,F2,M,-9997,-9996
1096A,F2,F,-9997,-9996
1097A,F2,M,-9997,-9996
1098A,F2,F,-9997,-9996
1099A,F2,F,-9997,-9996
1100A,F2,F,-9997,-9996
1101A,F2,M,-9997,-9996
1102A,F2,M,-9997,-9996
1103A,F2,F,-9997,-9996
1104A,F2,F,-9997,-9996
1105A,F2,M,-9997,-9996
1106A,F2,M,-9997,-9996
1107A,F2,M,-9997,-9996
1108A,F2,F,-9997,-9996
1109A,F2,F,-9997,-9996
1110A,F2,F,-9997,-9996
1111A,F2,M,-9997,-9996
1112A,F2,M,-9997,-9996
1113A,F2,F,-9997,-9996
1114A,F2,F,-9997,-9996
1115A,F2,M,-9997,-9996
1116A,F2,F,-9997,-9996
1117A,F2,F,-9997,-9996
1118A,F2,F,-9997,-9996
1119A,F2,M,-9997,-9996
1120A,F2,F,-9997,-9996
1121A,F2,F,-9997,-9996
1122A,F2,M,-9997,-9996
1144A,F2,F,-9997,-9996
1145A,F2,M,-9997,-9996
1146A,F2,F,-9997,-9996
1147A,F2,M,-9997,-9996
1148A,F2,M,-9997,-9996
1149A,F2,F,-9997,-9996
1150A,F2,F,-9997,-9996
1151A,F2,F,-9997,-9996
1152A,F2,M,-9997,-9996
1153A,F2,F,-9997,-9996
1154A,F2,M,-9997,-9996
1155A,F2,M,-9997,-9996
1156A,F2,F,-9997,-9996
1157A,F2,F,-9997,-9996
1224A,F2,M,-9997,-9996
1225A,F2,M,-9997,-9996
1226A,F2,M,-9997,-9996
1227A,F2,M,-9997,-9996
1228A,F2,F,-9997,-9996
1229A,F2,F,-9997,-9996
1230A,F2,M,-9997,-9996
1231A,F2,M,-9997,-9996
1232A,F2,F,-9997,-9996
1233A,F2,M,-9997,-9996
1234A,F2,F,-9997,-9996
1235A,F2,F,-9997,-9996
1236A,F2,M,-9997,-9996
1343A,F2,F,-9997,-9996
1344A,F2,F,-9997,-9996
1345A,F2,F,-9997,-9996
1346A,F2,M,-9997,-9996
1347A,F2,F,-9997,-9996
1348A,F2,F,-9997,-9996
1349A,F2,F,-9997,-9996
1350A,F2,F,-9997,-9996
1351A,F2,F,-9997,-9996
1352A,F2,F,-9997,-9996
1353A,F2,M,-9997,-9996
1354A,F2,M,-9997,-9996
1355A,F2,M,-9997,-9996
1364A,F2,F,-9997,-9996
1365A,F2,F,-9997,-9996
1366A,F2,M,-9997,-9996
1367A,F2,F,-9997,-9996
1368A,F2,M,-9997,-9996
1369A,F2,M,-9997,-9996
1370A,F2,F,-9997,-9996
1371A,F2,M,-9997,-9996
1372A,F2,M,-9997,-9996
1373A,F2,M,-9997,-9996
1374A,F2,F,-9997,-9996
1375A,F2,F,-9997,-9996
1376A,F2,F,-9997,-9996
1377A,F2,M,-9997,-9996
1430A,F2,F,-9997,-9996
1431A,F2,F,-9997,-9996
1432A,F2,M,-9997,-9996
1433A,F2,M,-9997,-9996
1434A,F2,F,-9997,-9996
1435A,F2,M,-9997,-9996
1436A,F2,F,-9997,-9996
1437A,F2,F,-9997,-9996
1438A,F2,M,-9997,-9996
1439A,F2,F,-9997,-9996
1440A,F2,F,-9997,-9996
1441A,F2,M,-9997,-9996
1442A,F2,F,-9997,-9996
1443A,F2,M,-9997,-9996
1444A,F2,M,-9997,-9996
1445A,F2,F,-9997,-9996
1446A,F2,M,-9997,-9996
1447A,F2,M,-9997,-9996
1448A,F2,F,-9997,-9996
1449A,F2,M,-9997,-9996
1450A,F2,M,-9997,-9996
1452A,F2,M,-9997,-9996
1453A,F2,F,-9997,-9996
1454A,F2,M,-9997,-9996
7481A,F2,F,-9997,-9996
7482A,F2,F,-9997,-9996
7511A,F2,F,-9997,-9996
7521A,F2,F,-9997,-9996
7531A,F2,F,-9997,-9996
7541A,F2,M,-9997,-9996
7551A,F2,M,-9997,-9996
7561A,F2,M,-9997,-9996
7571A,F2,F,-9997,-9996
7581A,F2,M,-9997,-9996
7591A,F2,F,-9997,-9996
7601A,F2,F,-9997,-9996
7611A,F2,F,-9997,-9996
7621A,F2,F,-9997,-9996
7651A,F2,M,-9997,-9996
7661A,F2,F,-9997,-9996
7671A,F2,M,-9997,-9996
7681A,F2,F,-9997,-9996
7691A,F2,M,-9997,-9996
7701A,F2,F,-9997,-9996
7711A,F2,F,-9997,-9996
9941A,F2,F,-9997,-9996
10871A,F2,M,-9997,-9996
10872A,F2,F,-9997,-9996
F2100,F2,M,-9997,-9996
F2101,F2,F,-9997,-9996
F2104,F2,F,-9997,-9996
F2108,F2,M,-9997,-9996
F2113,F2,F,-9997,-9996
F2115,F2,M,-9997,-9996
F2116,F2,F,-9997,-9996
F2118,F2,M,-9997,-9996
F2120,F2,M,-9997,-9996
F2121,F2,F,-9997,-9996
F2123,F2,M,-9997,-9996
F2124,F2,F,-9997,-9996
F2125,F2,M,-9997,-9996
F2127,F2,M,-9997,-9996
F2128,F2,F,-9997,-9996
F2130,F2,F,-9997,-9996
F2131,F2,M,-9997,-9996
F2132,F2,F,-9997,-9996
F2135,F2,F,-9997,-9996
F2136,F2,M,-9997,-9996
F2141,F2,F,-9997,-9996
F2143,F2,M,-9997,-9996
F2154,F2,M,-9997,-9996
F2155,F2,F,-9997,-9996
F2160,F2,M,-9997,-9996
F2162,F2,F,-9997,-9996
F2165,F2,M,-9997,-9996
F2167,F2,F,-9997,-9996
F2168,F2,F,-9997,-9996
F2175,F2,F,-9997,-9996
F2178,F2,F,-9997,-9996
F2183,F2,M,-9997,-9996
F2186,F2,M,-9997,-9996
F2187,F2,F,-9997,-9996
F2190,F2,F,-9997,-9996
F2191,F2,F,-9997,-9996
F2195,F2,M,-9997,-9996
F2196,F2,M,-9997,-9996
F2197,F2,M,-9997,-9996
F2198,F2,F,-9997,-9996
F2200,F2,M,-9997,-9996
F2201,F2,F,-9997,-9996
F2202,F2,F,-9997,-9996
F2203,F2,F,-9997,-9996
F2204,F2,M,-9997,-9996
F2208,F2,F,-9997,-9996
F2210,F2,M,-9997,-9996
F2213,F2,F,-9997,-9996
F2215,F2,F,-9997,-9996
F2216,F2,F,-9997,-9996
F2217,F2,M,-9997,-9996
F2218,F2,M,-9997,-9996
F2220,F2,M,-9997,-9996
F2222,F2,M,-9997,-9996
F2223,F2,M,-9997,-9996
F2225,F2,M,-9997,-9996
F2226,F2,F,-9997,-9996
F2228,F2,F,-9997,-9996
F2229,F2,M,-9997,-9996
F2230,F2,M,-9997,-9996
F2231,F2,M,-9997,-9996
F2232,F2,M,-9997,-9996
F2233,F2,F,-9997,-9996
F2236,F2,F,-9997,-9996
F2238,F2,M,-9997,-9996
F2239,F2,M,-9997,-9996
F2242,F2,F,-9997,-9996
F2243,F2,F,-9997,-9996
F2245,F2,M,-9997,-9996
F2249,F2,F,-9997,-9996
F2250,F2,M,-9997,-9996
F2251,F2,M,-9997,-9996
F2253,F2,F,-9997,-9996
F2256,F2,F,-9997,-9996
F2259,F2,M,-9997,-9996
F2260,F2,F,-9997,-9996
F2262,F2,M,-9997,-9996
F2263,F2,M,-9997,-9996
F2265,F2,M,-9997,-9996
F2266,F2,F,-9997,-9996
F2267,F2,F,-9997,-9996
F2269,F2,F,-9997,-9996
F2272,F2,F,-9997,-9996
F2274,F2,M,-9997,-9996
F2275,F2,F,-9997,-9996
F2280,F2,F,-9997,-9996
F2282,F2,F,-9997,-9996
F2284,F2,F,-9997,-9996
F2285,F2,F,-9997,-9996
F2288,F2,F,-9997,-9996
F2289,F2,F,-9997,-9996
F2290,F2,F,-9997,-9996
F2291,F2,F,-9997,-9996
F2292,F2,F,-9997,-9996
F2297,F2,M,-9997,-9996
F2298,F2,M,-9997,-9996
F2299,F2,F,-9997,-9996
F2300,F2,F,-9997,-9996
F2301,F2,M,-9997,-9996
F2302,F2,F,-9997,-9996
F2307,F2,F,-9997,-9996
F2308,F2,M,-9997,-9996
F2309,F2,F,-9997,-9996
F2312,F2,M,-9997,-9996
F2314,F2,F,-9997,-9996
F2315,F2,F,-9997,-9996
F2316,F2,F,-9997,-9996
F2317,F2,M,-9997,-9996
F2318,F2,F,-9997,-9996
F2319,F2,M,-9997,-9996
F2323,F2,M,-9997,-9996
F2324,F2,F,-9997,-9996
F2326,F2,M,-9997,-9996
F2327,F2,F,-9997,-9996
F2328,F2,F,-9997,-9996
F2331,F2,F,-9997,-9996
F2332,F2,F,-9997,-9996
F2333,F2,M,-9997,-9996
F2334,F2,F,-9997,-9996
F2336,F2,M,-9997,-9996
F2337,F2,F,-9997,-9996
F2338,F2,F,-9997,-9996
F2339,F2,F,-9997,-9996
F2340,F2,F,-9997,-9996
F2341,F2,F,-9997,-9996
F2342,F2,M,-9997,-9996
F2343,F2,M,-9997,-9996
F2344,F2,M,-9997,-9996
F2346,F2,F,-9997,-9996
F2347,F2,F,-9997,-9996
F2348,F2,M,-9997,-9996
F2349,F2,M,-9997,-9996
F2350,F2,M,-9997,-9996
F2351,F2,F,-9997,-9996
F2354,F2,F,-9997,-9996
F2355,F2,M,-9997,-9996
F2356,F2,F,-9997,-9996
F2357,F2,F,-9997,-9996
F2359,F2,M,-9997,-9996
F2360,F2,F,-9997,-9996
F2363,F2,M,-9997,-9996
F2364,F2,F,-9997,-9996
F2365,F2,M,-9997,-9996
F2366,F2,F,-9997,-9996
F2370,F2,M,-9997,-9996
F2371,F2,M,-9997,-9996
F2372,F2,F,-9997,-9996
F2373,F2,M,-9997,-9996
F2374,F2,F,-9997,-9996
F2375,F2,M,-9997,-9996
F2377,F2,M,-9997,-9996
F2378,F2,M,-9997,-9996
F2379,F2,F,-9997,-9996
F2382,F2,F,-9997,-9996
F2383,F2,M,-9997,-9996
F2385,F2,F,-9997,-9996
F2387,F2,M,-9997,-9996
F2388,F2,M,-9997,-9996
F2389,F2,F,-9997,-9996
F2390,F2,M,-9997,-9996
F2392,F2,M,-9997,-9996
F2393,F2,M,-9997,-9996
F2394,F2,M,-9997,-9996
F2395,F2,M,-9997,-9996
F2396,F2,F,-9997,-9996
F2397,F2,F,-9997,-9996
F2398,F2,F,-9997,-9996
F2399,F2,M,-9997,-9996
F2400,F2,M,-9997,-9996
F2401,F2,F,-9997,-9996
F2402,F2,M,-9997,-9996
F2403,F2,M,-9997,-9996
F2405,F2,M,-9997,-9996
F2406,F2,M,-9997,-9996
F2407,F2,F,-9997,-9996
F2408,F2,F,-9997,-9996
F2409,F2,F,-9997,-9996
F2410,F2,F,-9997,-9996
F2411,F2,F,-9997,-9996
F2412,F2,F,-9997,-9996
F2413,F2,M,-9997,-9996
F2414,F2,M,-9997,-9996
F2415,F2,M,-9997,-9996
F2417,F2,F,-9997,-9996
F2418,F2,F,-9997,-9996
F2420,F2,F,-9997,-9996
F2422,F2,M,-9997,-9996
F2424,F2,M,-9997,-9996
F2425,F2,F,-9997,-9996
F2426,F2,M,-9997,-9996
F2428,F2,F,-9997,-9996
F2429,F2,M,-9997,-9996
F2431,F2,M,-9997,-9996
F2433,F2,F,-9997,-9996
F2436,F2,M,-9997,-9996
