# Phenotype data for Lg/Sm mouse advanced intercross line. This table
# includes phenotype data from 3-day fear conditioning study for 490
# mice (249 males and 241 females) from the F2 cross, and 687 mice
# (353 males and 334 females) from the F34 cross. See phenome.jax.org
# for details on the LG/J and SM/J mouse strains.
#
# The table is stored in comma-delimited ("csv") format. Each row
# corresponds to an individual mouse. Missing entries are marked as
# "NA".
# 
# The columns of the table are:
#
#  (1) id (a unique number assigned to each individual)
#  (2) filial generation (either F2 or F34)
#  (3) sex (M = male, F = female)
#  (4) coat color (W = white, B = black, A = agouti)
#  (5) age (in days)
#  (6) litter id
#  (7) litter size  
#  (8) distance traveled (in cm) along periphery of box
#  (9) distance traveled (in cm) in center of box
# (10) proportion of time spent in center of box
# (11) fecal boli 1 
# (12) fecal boli 2
# (13) average proportion of time freezing on Day 1 before mouse is
#      exposed to tones and shocks ("pre-training freezing")
# (14) average proportion of time freezing on Day 2 in an environment 
#      identical to Day 1 ("freezing to context")
# (15) average proportion of time freezing on Day 3 in an altered
#      environment, after the tone is presented at the same time as 
#      Day 1 ("freezing to cue")
# 
# Columns 8-10 are measurements obtained from "Open Field" testing,
# and columns 13-15 are measurements obtained from "Conditioned Fear"
# testing. Columns 16-18 are other phenotypes calculated from the
# "freezing" measurements.
#
id,generation,litterid,littersize,sex,coatcolor,age,distperiphery,distcenter,propcenter,FB1,FB2,pretrainfreeze,freezetocontext,freezetocue,learn,extinct,ctxtlearn
1234A,F2,3,13,F,W,55,3374,1043,0.1585,1,3,0.032,0.121,0.4598,53.54,-22.32,8.9
1235A,F2,3,13,F,W,55,2452,953,0.2017,0,2,0.0249,0.0552,0.8482,81.25,1.78,3.03
1236A,F2,3,13,M,W,55,2995,760,0.1152,3,2,0.016,0.0036,0.12055,15.18,-6.25,-1.24
1343A,F2,5,13,F,A,59,3508,649,0.1375,2,7,0.0714,0.1851,0.48215,43.68,3.57,11.37
1344A,F2,5,13,F,A,59,2396,409,0.1122,0,0,0.0392,0.2651,NA,NA,NA,22.59
1345A,F2,5,13,F,A,59,3103,1012,0.1647,1,2,0.0571,0.0979,0.08485,8.04,0.89,4.08
1346A,F2,5,13,M,A,59,3097,736,0.1845,0,4,0.0338,0.1103,0.8616,99.11,-25.9,7.65
1347A,F2,5,13,F,A,59,4145,782,0.1192,3,7,0.1125,0.1406,0.52235,56.78,-36.61,2.81
1348A,F2,5,13,F,A,59,3693,622,0.1248,3,5,0.0179,0.1584,0.72325,34.82,46.43,14.05
1349A,F2,5,13,F,A,59,1689,521,0.0692,0,1,0.0802,0.1068,0.2857,32.14,-30.36,2.66
1350A,F2,5,13,F,B,59,2353,289,0.1012,3,6,0.057,0.1566,0.0402,-10.71,-8.04,9.96
1351A,F2,5,13,F,B,59,2562,873,0.1617,3,1,0.0556,0.0427,0.30805,33.04,-4.47,-1.29
1352A,F2,5,13,F,B,59,3784,456,0.0945,2,4,0.0481,0.048,0.1518,16.07,-5.36,-0.01
1353A,F2,5,13,M,B,59,2322,894,0.217,5,6,0.0356,0.121,0.05355,6.24,-3.57,8.54
1354A,F2,5,13,M,W,59,2684,991,0.157,4,4,0.0196,0.0907,0.51785,63.39,-23.21,7.11
1355A,F2,5,13,M,W,59,1632,8,0.0062,1,3,0.0071,0.0623,0.23215,26.79,-7.15,5.52
1364A,F2,4,14,F,B,53,2460,303,0.0973,3,4,0,0.1103,0.99555,81.84,0.89,11.03
1365A,F2,4,14,F,B,53,1961,1,0.004,3,7,0.0695,0.2633,0.71875,60.62,11.61,19.38
1366A,F2,4,14,M,B,53,2718,223,0.0988,1,7,0.0802,0.3968,0.5268,60.68,-17.86,31.66
1367A,F2,4,14,F,B,53,2586,551,0.1033,1,1,0.0446,0.0819,0.8973,86.59,4.46,3.73
1368A,F2,4,14,M,B,53,4799,644,0.1003,0,4,0.0196,0.1957,0.2857,22.15,5.36,17.61
1369A,F2,4,14,M,B,53,2759,257,0.0507,5,5,0.0089,0.0695,0.2411,22.32,0,6.06
1370A,F2,4,14,F,W,53,2694,274,0.0598,1,2,0,0.0303,0.2098,22.32,-2.68,3.03
1371A,F2,4,14,M,W,53,2375,128,0.0377,3,2,0.0071,0.0553,0.66515,63.39,6.25,4.82
1372A,F2,4,14,M,W,53,1581,741,0.163,5,4,0.0018,0.0143,0.2009,8.93,22.32,1.25
1373A,F2,4,14,M,W,53,2011,1626,0.2493,1,4,0.0018,0.082,0.3259,14.29,29.46,8.02
1374A,F2,4,14,F,W,53,2494,880,0.1613,3,5,0.0071,0.0945,0.46425,47.32,-8.93,8.74
1375A,F2,4,14,F,W,53,2750,320,0.0757,1,4,0.0053,0.0606,0.45985,42.86,6.25,5.53
1376A,F2,4,14,F,W,53,3062,240,0.0608,1,3,0.0178,0.1337,0.84375,77.68,6.25,11.59
1377A,F2,4,14,M,W,53,3406,413,0.0813,1,3,0.0481,0.0979,0.27675,35.71,-16.07,4.98
1430A,F2,6,13,F,A,69,1809,89,0.053,1,4,0.0516,0.1444,0.1364,20.96,-20,9.28
1431A,F2,6,13,F,A,69,2172,10,0.0072,4,5,0.0676,0.3048,0.33635,40.99,-23.63,23.72
1432A,F2,6,13,M,A,69,2192,155,0.0472,4,2,0.0196,0.0357,0.08035,8.03,-5.35,1.61
1433A,F2,6,13,M,A,69,1399,103,0.0453,5,6,0.0927,0.2286,0.5982,51.78,10.72,13.59
1434A,F2,6,13,F,B,69,2948,559,0.1738,1,3,0.0302,0.1979,0.40455,41.9,-11.81,16.77
1435A,F2,6,13,M,B,69,1405,100,0.084,5,6,0.0517,0.1554,0.2009,12.5,13.4,10.37
1436A,F2,6,13,F,B,69,NA,NA,NA,6,3,0.0285,0.0644,0.0893,9.82,-7.14,3.59
1437A,F2,6,13,F,B,69,NA,NA,NA,4,3,0.0196,0.0125,0.30805,38.39,-20.53,-0.71
1438A,F2,6,13,M,W,69,2953,302,0.1052,3,2,0.0196,0.1839,0.63395,59.82,-3.57,16.43
1439A,F2,6,13,F,W,69,NA,NA,NA,1,5,0.0409,0.0676,0.37055,59.82,-45.53,2.67
1440A,F2,6,13,F,W,69,NA,NA,NA,1,1,0.0018,0.0071,0.2277,12.5,16.96,0.53
1441A,F2,6,13,M,W,69,1697,446,0.1282,2,6,0.016,0.1388,0.5982,66.96,-14.28,12.28
1442A,F2,6,13,F,W,69,NA,NA,NA,3,3,0.0285,0.306,0.94195,83.03,11.61,27.75
1443A,F2,5,12,M,B,65,1143,22,0.0073,5,3,0.0374,0.0517,0.39545,27.29,22.73,1.43
1444A,F2,5,12,M,B,65,1612,193,0.0735,2,2,0.082,0.0747,0.0357,-6.25,7.14,-0.73
1445A,F2,5,12,F,B,65,2764,232,0.0402,3,3,0.0961,0.048,0.64735,50.75,11.61,-4.81
1446A,F2,5,12,M,B,65,2573,277,0.0988,6,4,0.0374,0.0623,0.045,1.85,-5.42,2.49
1447A,F2,5,12,M,B,65,2064,391,0.1108,3,5,0.0178,0.0286,0.04915,8.04,-6.25,1.08
1448A,F2,5,12,F,B,65,3855,647,0.0905,7,2,0.032,0.0552,0.05805,-3.68,6.25,2.32
1449A,F2,5,12,M,B,65,2324,477,0.161,3,5,0.0338,0.0644,0.29915,26.79,6.25,3.06
1450A,F2,5,12,M,B,65,2034,791,0.1785,3,3,0.0587,0.0733,0.1607,13.39,0,1.46
1452A,F2,5,12,M,W,65,2014,32,0.0352,4,6,0.0285,0.0463,0.23335,27.03,-7.39,1.78
1453A,F2,5,12,F,W,65,3818,625,0.1183,4,4,0.0285,0.032,0.10715,12.45,-8.93,0.35
1454A,F2,5,12,M,W,65,1764,106,0.0598,1,2,0.0303,0.5053,0.85195,68.61,1.03,47.5
7481A,F2,1,9,F,B,71,1966,273,0.0785,0,3,0.0036,0.4349,0.4785,49.68,-17.82,43.13
7482A,F2,1,9,F,W,71,2768,1212,0.2402,2,1,0.0214,0.0642,0.24735,38.86,-40.63,4.28
7511A,F2,2,12,F,B,57,3227,32,0.0298,0,4,0.0943,0.3719,0.45425,66.07,-41.29,27.76
7521A,F2,2,12,F,B,57,2268,267,0.1003,2,5,0.032,0.4591,0.6806,82.14,-28.16,42.71
7531A,F2,2,12,F,B,57,3041,72,0.0203,4,3,0.0605,0.2011,0.54685,50.08,-6.71,14.06
7541A,F2,2,12,M,B,57,1694,29,0.0128,0,2,0.0125,0.2995,0.5607,67.01,-30.72,28.7
7551A,F2,2,12,M,B,57,2404,304,0.05,2,5,0.0339,0.2442,0.42685,44.66,-7.49,21.03
7561A,F2,2,12,M,B,57,2539,711,0.1685,3,4,0.0713,0.2602,0.25,48.23,-50,18.89
7571A,F2,2,12,F,W,57,1304,540,0.1707,2,5,0.0214,0.3648,0.50345,78.57,-56.45,34.34
7581A,F2,2,12,M,W,57,2459,249,0.0733,0,3,0.0285,0.1337,0.28935,36.64,-20.71,10.52
7591A,F2,2,12,F,W,57,2103,253,0.069,1,2,0.0142,0.258,0.0803,7.21,-12.52,24.38
7601A,F2,2,12,F,W,57,1533,443,0.1342,1,0,0,0.2589,0.75625,82.22,-30.89,25.89
7611A,F2,2,12,F,W,57,2644,588,0.1247,2,2,0,0.5526,0.1874,35.71,-33.94,55.26
7621A,F2,2,12,F,W,57,2187,509,0.1567,3,1,0.0089,0.2567,0.34265,3.93,-18.97,24.78
7651A,F2,2,14,M,B,57,3025,423,0.0533,0,5,0.0623,0.0286,0.01785,3.57,-3.57,-3.37
7661A,F2,2,14,F,B,57,4190,569,0.0638,3,5,0.0071,0.0766,0.3337,38.42,-17.18,6.95
7671A,F2,2,14,M,B,57,25,2,0.0277,1,5,0.0731,0.1143,0.56925,48.36,-14.73,4.12
7681A,F2,2,14,F,B,57,1936,219,0.1113,1,3,0.0125,0.1622,0.4802,27.9,-7.54,14.97
7691A,F2,2,14,M,B,57,3069,29,0.0142,0,0,0.0695,0.0554,0.55215,60.87,-46.71,-1.41
7701A,F2,2,14,F,B,57,928,329,0.1188,2,3,0.0499,0.306,0.44065,40.34,-27.95,25.61
7711A,F2,2,14,F,B,57,2420,668,0.1695,3,8,0.016,0.3048,0.16055,29.46,-26.81,28.88
9941A,F2,2,14,F,W,64,NA,NA,NA,6,6,0.0107,0.1762,0.51995,48.24,2.21,16.55
10871A,F2,5,17,M,B,66,3033,115,0.0435,0,1,0.0712,0.2936,0.6295,64.29,-15.18,22.24
10872A,F2,5,17,F,B,66,1863,324,0.084,3,3,0.0374,0.4502,0.7545,51.79,15.18,41.28
1,F34,1,10,F,A,63,2711,605,0.1497,1,4,0.016,0.0267,0.11165,14.29,-6.25,1.07
2,F34,1,10,M,A,63,2912,382,0.0778,4,5,0.1103,0.1192,0.12055,20.53,-20.53,0.89
3,F34,1,10,M,A,63,2292,458,0.1263,3,4,0.0249,0.2722,0.1964,20.53,-7.14,24.73
4,F34,1,10,M,A,63,2139,84,0.0588,0,4,0.0427,0.0516,0.3929,39.29,-12.5,0.89
5,F34,1,10,M,B,63,1186,580,0.2535,0,5,0.0569,0.0445,0.3929,48.22,-25,-1.24
6,F34,1,10,M,W,63,2616,594,0.1353,1,1,0.0302,0.0071,0.14735,24.11,-24.11,-2.31
7,F34,1,10,M,W,63,2541,859,0.1665,5,3,0.0854,0.0783,0.52235,52.68,-0.89,-0.71
8,F34,1,10,M,W,63,2275,487,0.1853,3,5,0.0214,0.0142,0.3125,41.07,-23.22,-0.72
9,F34,1,10,M,W,63,NA,76,NA,1,2,0.0053,0.032,0.13395,20.54,-14.29,2.67
10,F34,1,10,F,W,63,1904,366,0.1298,4,4,0,0.0409,0.0848,4.46,8.04,4.09
11,F34,1,9,F,W,63,2286,846,0.1543,3,4,0.0196,0.0676,0.4152,37.5,2.68,4.8
12,F34,1,9,F,B,63,4643,973,0.1623,4,2,0.032,0.0178,0.05805,8.04,-4.47,-1.42
13,F34,1,9,M,B,63,2322,247,0.0765,3,3,0.0605,0.1628,0.88835,61.6,18.75,10.23
14,F34,1,9,M,B,63,2493,685,0.2235,4,6,0.0498,0.1055,0.0179,1.79,0,5.57
15,F34,1,9,M,B,63,2553,527,0.1033,2,0,0.0214,0.0376,0.66075,72.32,-16.07,1.62
16,F34,1,9,F,B,63,2950,417,0.1325,3,4,0.0338,0.2562,0.34825,17.86,28.57,22.24
17,F34,1,9,F,B,63,4265,1404,0.1853,5,2,0.032,0.105,0.3348,31.25,-15.18,7.3
18,F34,1,9,M,B,63,3216,786,0.1152,0,6,0.0498,0.0569,0.6875,22.32,-8.92,0.71
19,F34,1,9,M,B,63,3028,551,0.1015,0,4,0.0569,0.1139,0.15625,19.64,-8.03,5.7
20,F34,1,6,M,A,63,2120,380,0.1343,1,5,0.0285,0.0624,0.07145,14.29,-14.29,3.39
21,F34,1,6,M,A,63,2479,283,0.0615,4,10,0.0552,0.0428,0,0,0,-1.24
22,F34,1,6,F,B,63,3049,152,0.0433,4,4,0.025,0.0196,0.05805,7.15,-11.61,-0.54
23,F34,1,6,F,W,63,2491,919,0.2033,5,6,0.0143,0.0321,0.07145,5.36,3.57,1.78
24,F34,1,6,F,W,63,2336,639,0.154,4,7,0.0143,0.0731,0.6741,56.25,22.32,5.88
25,F34,1,6,M,W,63,2634,783,0.1688,0,2,0.048,0.0357,0.3839,59.82,-42.86,-1.23
26,F34,1,8,M,A,61,3419,665,0.2135,5,5,NA,0.1996,0.7143,66.07,10.72,NA
27,F34,1,8,F,A,61,3285,90,0.0475,0,3,0.0267,0.0552,0.5089,23.21,17.86,2.85
28,F34,1,8,F,B,61,3638,873,0.1865,3,1,0.0356,0.1157,0.09375,12.5,-6.25,8.01
29,F34,1,8,M,B,61,3534,845,0.1345,3,4,NA,0.0214,0.14735,19.64,-13.39,NA
30,F34,1,8,M,W,61,2776,634,0.1312,0,3,NA,0.0357,0.1741,19.64,-11.6,NA
31,F34,1,8,M,W,61,2582,1143,0.2022,0,5,NA,0.0428,0.08035,12.5,-8.93,NA
32,F34,1,8,M,W,61,3099,383,0.0993,1,1,0.0143,0.1655,0.8393,75,10.72,15.12
33,F34,1,8,F,W,61,3938,890,0.1253,3,3,0.0196,0.1281,0.67855,79.46,-23.21,10.85
34,F34,1,13,M,A,61,2872,471,0.0975,1,1,0.0961,0.0907,0.5134,48.22,-8.04,-0.54
35,F34,1,13,F,A,61,2612,486,0.114,1,2,0.0232,0.0658,0.1116,16.96,-11.6,4.26
36,F34,1,13,M,A,61,2787,1001,0.2383,0,1,0.1121,0.1441,0.27235,25,-13.39,3.2
37,F34,1,13,M,A,61,4187,1370,0.13,0,0,0.0587,0.2228,0.1295,13.4,-9.82,16.41
38,F34,1,13,F,A,61,3320,356,0.0815,1,1,0.0856,0.1157,0.22765,-21.43,24.11,3.01
39,F34,1,13,M,B,61,3438,715,0.1503,0,5,0.0249,0.0232,0.21875,22.32,-0.89,-0.17
40,F34,1,13,F,B,61,3406,513,0.096,2,3,0.0677,0.0872,0.1652,22.32,-15.18,1.95
41,F34,1,13,M,B,61,2084,483,0.1327,2,3,0.0302,0.0839,0.0268,0.9,-5.36,5.37
42,F34,1,13,M,B,61,2173,811,0.1473,2,2,0.0214,0.0714,0.0848,9.82,-16.96,5
43,F34,1,13,M,B,61,3581,658,0.0953,0,1,0.0464,0.0231,0.0804,14.29,-12.5,-2.33
44,F34,1,13,M,B,61,3703,848,0.0933,0,0,0.0393,0.169,0.70535,66.07,8.93,12.97
45,F34,1,13,F,B,61,4003,961,0.1457,0,1,0.0231,0.0178,0.0848,9.82,-2.68,-0.53
46,F34,1,13,F,B,61,3190,876,0.141,1,0,0.016,0.0089,0.14285,10.71,7.15,-0.71
47,F34,1,7,M,A,61,2766,1216,0.1523,0,0,0.0036,0.0374,0.07145,14.29,-14.29,3.38
49,F34,1,7,M,A,61,2830,418,0.1312,3,6,0.0339,0.2153,0.62055,53.57,6.25,18.14
50,F34,1,7,M,A,61,2694,997,0.1765,3,1,0.0393,0.1726,0.54465,42.86,3.57,13.33
51,F34,1,7,M,B,61,2772,668,0.2198,0,0,0.0768,0.073,0.0625,8.93,-5.36,-0.38
52,F34,1,7,F,B,61,2679,223,0.0535,4,NA,0.0036,0.0516,0.24555,38.39,-31.25,4.8
53,F34,1,7,F,B,61,2664,704,NA,2,NA,0.0231,0.0409,0.47325,31.25,28.57,1.78
54,F34,1,9,F,B,61,3733,NA,0.1798,1,5,0.0267,NA,0.7366,39.28,20.54,NA
55,F34,1,9,F,B,61,3120,775,0.1517,1,4,0.0338,0.1886,0.4107,23.21,5.36,15.48
56,F34,1,9,M,B,61,3158,808,0.1215,1,4,0.0053,0.3577,0.8839,36.6,0,35.24
57,F34,1,9,M,B,61,3846,1107,0.1582,4,1,NA,0.1335,0.52235,64.29,-24.11,NA
58,F34,1,9,F,B,61,NA,1555,0.1468,2,4,0.0125,0.1014,0.3482,3.57,39.28,8.89
59,F34,1,9,M,B,61,3332,456,0.0825,1,0,NA,0.0712,0.7009,58.04,15.18,NA
60,F34,1,9,M,W,61,2802,768,0.1097,4,5,0.0071,0.1192,0.7455,68.75,2.68,11.21
61,F34,1,9,F,W,61,3314,1015,0.1167,3,3,0.0214,0.411,0.8214,80.35,0,38.96
62,F34,1,9,M,W,61,2839,NA,0.2808,0,1,0.0071,0.0215,0.40625,42.85,-8.03,1.44
63,F34,1,11,F,B,61,3058,512,0.1008,3,3,0.0267,0.0658,0.08035,0,3.57,3.91
64,F34,1,11,M,B,61,2412,469,0.1197,2,2,0.0872,0.0819,0.1875,18.75,-19.64,-0.53
65,F34,1,11,M,B,61,2485,780,0.1577,0,2,0.0552,0.0996,0.00895,0,-1.79,4.44
67,F34,1,11,F,B,61,2995,538,0.0905,3,3,0.0302,0.0872,0.55805,47.32,0.89,5.7
68,F34,1,11,M,B,61,2926,553,0.0945,1,3,0.0641,0.0249,0.17855,23.21,-14.29,-3.92
69,F34,1,11,F,W,61,2854,606,0.1172,3,2,0.0107,0.048,0.1741,22.32,-9.82,3.73
70,F34,1,11,F,W,61,2846,957,0.1298,1,3,0,0.0623,0.4911,61.61,-25,6.23
72,F34,1,11,M,W,61,2366,776,0.1517,4,7,0.0374,0.0285,0.0893,12.5,-7.14,-0.89
74,F34,1,8,M,A,60,1917,74,0.0202,2,1,0.0961,0.0606,0.27235,40.18,-25.89,-3.55
75,F34,1,8,M,B,60,2767,32,0.018,3,4,0.1014,0.0856,0.34375,43.75,-18.75,-1.58
76,F34,1,8,M,B,60,2098,123,0.0783,0,3,0.1121,0.1016,0.0134,2.68,-2.68,-1.05
77,F34,1,8,M,W,60,2301,312,0.1342,5,3,0.0214,0.0445,0.125,13.39,-1.78,2.31
78,F34,1,8,M,W,60,2661,816,0.1787,1,6,0.0391,0.0302,0.10265,16.96,-13.39,-0.89
79,F34,1,8,M,W,60,2792,746,0.1652,0,4,0.0498,0.0249,0.36605,53.57,-33.93,-2.49
80,F34,1,8,M,W,60,2191,271,0.09,0,1,0.0463,0.0427,0.61605,69.64,-16.07,-0.36
81,F34,1,8,M,W,60,1709,407,0.1375,0,1,0.0142,0.2776,0.85715,72.32,26.79,26.34
82,F34,1,10,M,A,60,3103,158,0.0687,3,4,0.0374,0.0945,0.125,19.64,-14.28,5.71
83,F34,1,10,F,A,60,3657,391,0.0922,2,3,NA,0.1477,0.54015,47.32,-6.25,NA
84,F34,1,10,F,A,60,3907,408,0.0743,3,1,NA,0.0356,0.05805,6.25,-6.25,NA
85,F34,1,10,F,A,60,2883,322,0.0808,1,1,0.0356,0.2295,0.45535,16.07,10.71,19.39
86,F34,1,10,F,A,60,3166,510,0.1133,5,1,0.0445,0.1246,0.3393,47.32,-30.36,8.01
88,F34,1,10,F,W,60,3747,763,0.1058,2,2,0,0.0747,0.57145,65.18,-16.07,7.47
89,F34,1,10,M,W,60,2560,305,0.0958,1,3,0,0.0605,0.73215,61.61,23.21,6.05
90,F34,1,10,F,W,60,2376,699,0.1058,1,1,0,0.0142,0.125,12.5,0,1.42
91,F34,1,10,F,W,60,2733,374,0.0892,1,2,0.0071,0.0463,0.60265,58.93,-6.25,3.92
92,F34,1,7,M,A,60,3924,531,0.0922,3,2,0.0249,0.1566,0.0134,0.89,-2.68,13.17
93,F34,1,7,M,A,60,2511,259,0.08,0,0,0.0429,0.1157,0.625,58.93,-25,7.28
94,F34,1,7,F,A,60,2582,376,0.1093,1,0,0.0214,0.3286,0.40625,59.82,-38.39,30.72
95,F34,1,7,F,A,60,3618,231,0.0455,4,2,0.0427,0.2125,0.72765,66.96,-0.89,16.98
97,F34,1,7,F,W,60,2378,919,0.1742,0,3,0.0071,0.025,0.3304,39.29,-12.5,1.79
98,F34,1,7,F,W,60,2587,568,0.0982,0,2,0.0107,0.0464,0.14285,11.61,5.35,3.57
99,F34,1,5,F,A,59,2476,370,0.1118,1,1,0.0178,0.2054,0.45535,52.68,-21.43,18.76
100,F34,1,5,M,A,59,2598,237,0.0822,2,4,0.0196,0.0588,0.067,9.82,-9.82,3.92
101,F34,1,5,M,B,59,2709,728,0.1558,3,7,0.0338,0.1105,0.19645,16.97,-16.07,7.67
102,F34,1,5,M,NA,59,1843,339,0.1563,0,5,0.1139,0.1569,0.5759,58.93,-2.68,4.3
103,F34,1,5,F,B,59,3227,1036,0.2033,2,2,0.0285,0.0694,0.1741,15.18,-4.46,4.09
104,F34,1,10,M,A,58,2868,66,0.0258,1,3,0.0249,0.1388,0.21875,28.57,-27.67,11.39
105,F34,1,10,M,A,58,2780,454,0.1065,0,1,0.0302,0.1281,0.0268,3.57,-1.78,9.79
106,F34,1,10,F,A,58,2351,329,0.1407,4,5,0.0249,0.0946,0.1696,29.46,-25,6.97
107,F34,1,10,F,A,58,1888,163,0.0567,3,5,0.0427,0.0375,0.375,33.92,3.58,-0.52
108,F34,1,10,F,B,58,3669,429,0.0735,1,4,0.0107,0.0857,0.6964,77.68,-25,7.5
109,F34,1,10,M,B,58,3208,152,0.0392,0,1,0.0552,0.1886,0.4375,58.04,-28.58,13.34
110,F34,1,10,F,B,58,2217,340,0.128,1,4,0.0125,0.0929,0.45535,49.11,-7.15,8.04
111,F34,1,10,M,B,58,2683,381,0.1408,3,1,0.0552,0.0836,0.05355,7.14,-3.57,2.84
112,F34,1,10,M,B,58,2463,261,0.1872,2,1,0.0089,0.1014,0.625,68.75,-12.5,9.25
113,F34,1,10,M,B,58,3299,185,0.0508,0,2,0.0463,0.0784,0.60265,60.71,-13.39,3.21
114,F34,1,6,F,B,57,2736,763,0.158,2,2,0.0125,0.258,0.7723,67.85,15.18,24.55
115,F34,1,6,F,B,57,2160,592,0.2247,2,4,0.0231,0.0374,0.21425,32.14,-21.43,1.43
116,F34,1,6,M,B,57,2976,551,0.1027,6,7,0.0125,0.3701,0.14735,1.79,25.89,35.76
117,F34,1,6,M,B,57,2475,832,0.1912,3,5,0.073,0.1619,0.59375,54.46,9.83,8.89
118,F34,1,6,M,B,57,3302,1041,0.1583,2,0,0.0142,0.1032,0.2991,27.68,-54.46,8.9
119,F34,1,6,M,B,57,3270,276,0.0597,3,4,0.0107,0.0979,0.0759,11.61,-8.04,8.72
120,F34,1,4,F,W,63,3240,370,0.0903,5,7,0.0036,0.0357,0.41075,34.83,3.57,3.21
121,F34,1,4,F,W,63,3104,780,0.1377,5,6,0.0125,0.4046,0.15175,21.43,-21.43,39.21
122,F34,1,4,F,W,63,2644,658,0.0995,1,4,0.0214,0.0535,0.21875,20.53,-0.89,3.21
123,F34,1,4,F,W,63,2275,826,0.1848,0,4,0.0036,0.0143,0.6518,57.14,5.36,1.07
124,F34,1,3,F,W,63,1562,889,0.2583,3,1,0.0125,0.0285,0.6473,66.96,-4.46,1.6
125,F34,1,3,M,W,63,2926,543,0.1383,4,3,0.0125,0.073,0.3482,34.82,0,6.05
126,F34,1,3,M,W,63,2301,457,0.0825,5,4,0.0249,0.0943,0.5536,75.89,-44.64,6.94
127,F34,1,11,M,A,63,1917,521,0.1473,4,7,0.0267,0.1141,0.0268,0,-1.78,8.74
128,F34,1,11,M,A,63,2576,362,0.075,1,4,0.0925,0.0588,0.46875,21.42,NA,-3.37
129,F34,1,11,M,A,63,1898,782,0.181,0,0,0.0534,0.1569,0.10715,13.39,-16.07,10.35
130,F34,1,11,M,A,63,1666,532,0.1132,2,2,0.073,0.1123,0.01785,-1.79,-3.57,3.93
131,F34,1,11,F,A,63,2366,496,0.0805,2,2,0.0233,0.0676,0.0134,2.68,-2.68,4.43
132,F34,1,11,F,A,63,3844,302,0.0767,3,2,0.0484,0.0623,0.36605,37.5,-10.71,1.39
133,F34,1,11,F,B,63,3241,429,0.0947,0,2,0.0197,0.0196,0.01785,0,3.57,-0.01
134,F34,1,11,M,B,63,2446,20,0.0273,2,4,0.0374,0.0268,0.05805,1.79,8.03,-1.06
135,F34,1,11,F,B,63,2112,562,0.1333,3,3,0.0251,0.0552,0.10715,7.14,7.15,3.01
136,F34,1,11,F,B,63,2329,530,0.1438,3,2,0.0071,0.0285,0.14735,17.86,-6.25,2.14
137,F34,1,11,F,B,63,2008,315,0.0828,3,2,0.0196,0.0071,0.00895,0,1.79,-1.25
138,F34,1,4,M,NA,62,3414,187,0.0603,3,1,0.0623,0.073,0.20985,-5.35,-6.25,1.07
139,F34,1,4,M,B,62,2072,244,0.1023,4,1,0.0302,0.1904,0.2366,27.68,-16.96,16.02
140,F34,1,4,F,B,62,2718,179,0.0522,3,3,0.05,0.1087,0.3214,33.93,-37.5,5.87
142,F34,1,13,F,W,61,2811,1439,0.1988,2,1,0.0036,0.0679,0.8482,70.53,25,6.43
143,F34,1,13,F,W,61,3867,NA,0.1672,1,3,0.0214,0.0268,0.55805,68.75,-31.25,0.54
144,F34,1,13,F,W,61,2785,953,0.1623,1,4,0.0178,0.2,0.67855,69.64,-8.93,18.22
145,F34,1,13,M,W,61,3074,1198,0.1355,1,5,0.0409,0.2638,0.4732,57.14,-23.22,22.29
146,F34,1,13,F,W,61,3845,854,0.141,2,2,0.0089,0.0231,0.5893,53.57,-5.36,1.42
147,F34,1,13,M,W,61,2982,NA,0.2137,1,5,0.0214,0.0321,0.31695,44.64,-25.89,1.07
148,F34,1,13,M,W,61,2288,507,0.1177,0,4,0.016,NA,0.89285,75,5.35,NA
149,F34,1,13,M,W,61,2268,475,0.0983,1,3,0.0374,0.016,0.5446,57.14,-12.5,-2.14
150,F34,1,13,F,W,61,2771,551,0.1072,1,5,0,0.1246,0.75895,63.4,10.71,12.46
151,F34,1,13,M,W,61,3881,NA,0.23,0,3,0,0.0071,0.07145,12.5,-10.71,0.71
152,F34,1,13,M,W,61,1620,519,0.1337,4,6,0.0285,0.2585,0.27675,19.64,-3.57,23
153,F34,1,13,F,W,61,2692,249,0.0397,2,2,0.0107,0.0107,0.6473,89.28,-52.68,0
154,F34,1,13,F,W,61,2612,NA,0.2488,1,3,0.0143,0.0196,0.49105,59.82,-28.57,0.53
155,F34,1,4,M,W,61,2508,251,0.0743,5,4,0,0.3054,0.9643,94.64,0,30.54
157,F34,1,4,M,W,61,2430,262,0.0813,2,7,0.0054,0.0393,0.2143,8.04,26.78,3.39
158,F34,1,4,M,W,61,1370,4,0.0047,4,5,0.0268,0.0054,0.41965,46.43,-8.93,-2.14
159,F34,1,13,F,A,61,2490,153,0.0455,4,2,0,0.1726,0.3036,36.61,-12.5,17.26
160,F34,1,13,F,A,61,4211,939,0.0967,4,5,0.0375,0.0391,0.0982,0.89,14.28,0.16
161,F34,1,13,M,A,61,2222,382,0.0927,5,5,NA,NA,NA,NA,NA,NA
162,F34,1,13,F,A,61,2533,691,0.138,3,0,0.0286,0.0463,0.01785,-1.79,3.57,1.77
163,F34,1,13,F,A,61,2415,424,0.114,3,1,0.0786,0.0712,0.2411,20.54,-5.36,-0.74
165,F34,1,13,F,B,61,2823,864,0.1602,8,1,0.0696,0.0641,0.1964,17.86,-5.36,-0.55
